Main SKU,Product Name,Brand,Manufacturer,Quantity in Pack,HS Code,Cost in INR(PacK),Cost In INR (Unit),Fragile,Weight of Pack (in gms),Weight per Unit(in gms),Length(in mm),Width(in mm),Height(in mm),FSSAI Lic No.,UPC/EAN,HAZMAT Required,Temperature Sensitive,Special Packaging Required
IG-PNVA,Panva,Amber,Nagad Narayan Agro Foods,,,,,No,,,,,,10018013001679,,,,
IG-KISMI,Parle Kismi Toffee,Parle,Kohinoor Biscuit Products,50,17049020,50,1.00,No,246,5,,,,10013022002253,,,,
IG-KCHMB,Parle-Kacha Mango Bite,Parle,Parle Biscuits Pvt Ltd,50,17049020,50,1.00,No,277,6,,,,,,No,No,
IG-PARMAN,Parle-Mango Bite,Parle,Parle Biscuits Pvt Ltd,50,17049020,50,1.00,No,289,6,,,,,,No,,
IG-PRLEMEL,Parle-Melody Choclaty,Parle,See First two Letters of Batch No.,100,18069010,100,1.00,No,391,4,,,,,,No,,
IG-PASSPASS,Pass Pass,Pass Pass,,,,,,,,,,,,,,,,
IG-PHNTMCIG,Phantom Sweet Cigarettes,,,24,17049020,240,10.00,No,696,29,,,,,,,,
IG-PDINAMODK,Podina Laddu,Lachpach,,1,,40,40.00,,,0,,,,,,,,
IG-POPPINS,Poppins,Parle,,50,17049020,100,2.00,No,720,14,,,,,,,,
IG-PULSE,Pulse Candy,Pass Pass,,167,17049020,167,1.00,No,668,4,,,,,,,,
IG-5SLVRP,Rajnigandha Silver Pearls 10 rs,Rajnigandha,DS CONFECTIONERY PRODUCTS LIMITED,1,20081920,10,10.00,No,,0,,,,10019011006679 ,,No,Yes,
IG-50SLVRP,Rajnigandha Silver Pearls 50 rs,Rajnigandha,DS CONFECTIONERY PRODUCTS LIMITED,1,20081920,50,50.00,No,,0,,,,10019011006679 ,,No,Yes,
IG-RL,Ram Laddu,,,1,20089999,35,35.00,No,100,100,,,,,,,,
IG-ANDN,Rinkas Anardana,Rinka's,Anil Food Industries,30,17049020,150,5.00,No,450,15,,,,13319005000072,,,,
IG-CHNDS,Rinkas Chand Sitare,Rinka's,Anil Food Industries,30,17049020,150,5.00,No,390,13,,,,13319005000072,,,,
IG-CHATM,Rinkas Chatmola,Rinka's,Anil Food Industries,30,17049020,150,5.00,No,450,15,,,,13319005000072,,,,
IG-RGFC,Rinka's Gluco Fish Candy,Rinka's,Anil Food Industries,,,,,No,,,,,,13319005000072,,,,
IG-RPUDINA,Rinka's Pudina,Rinka's,Anil Food Industries,,,,,No,,,,,,13319005000072,,,,
IG-STTT,Satmola Tim Tim Taare,Satmola,SSG Pharma Pvt Ltd.,20,,,0.00,No,60,3,,,,,8906037913745,,,
IG-1SLVRP,Silver Pearls 1rs,Rajnigandha,,220,20081920,220,1.00,No,,0,,,,,,,,
IG-SMC,Sugar Candy Masala,Manpasand,,1,17049090,30,30.00,No,100,100,,,,,,,,
IG-SOC,Sugar Candy Orange,Manpasand,,1,17049090,30,30.00,No,100,100,,,,,,,,
IG-SPC,Sugar Candy Pan,Manpasand,,1,17049090,30,30.00,No,100,100,,,,,,,,
IG-TDEMEDE,Tedhe Medhe,Bingo!,,1,10063010,5,5.00,No,,0,,,,,,,,
IG-TICTAC,Tic Tac,Tic Tac ,,24,17049090,240,10.00,No,173,7,,,,,,No,No,
IG-TTTB,Tim Tim Taare(Bottle),Satmola,SSG Pharma Pvt Ltd.,,,,,No,,,,,,,8906037913752,,,
IG-ORBIT,Wrigley's Orbit,Wrigley's,‎Wrigley India Pvt Ltd,32,17041000,160,5.00,No,141,4,,,,,,No,Yes,
